,make_model,size,number_of_planes,recorded_accidents_for_plane_model,mean_human_injury_score,mean_aircraft_damage_score,mean_danger_score,recorded_accidents_per_plane_in_inventory
0,gulfstream ,small,207,18.0,3.518518518518518,7.083333333333333,6.458333333333333,0.08695652173913043
1,bombardier 700,small,91,6.0,0.0,4.444444444444444,3.3333333333333335,0.06593406593406594
2,dornier 228,small,69,14.0,2.142857142857143,7.333333333333333,6.25,0.2028985507246377
3,boeing 747,small,53,301.0,1.450719822812846,4.949999999999999,3.9916666666666663,5.679245283018868
4,gulfstream 550,small,51,2.0,0.0,6.666666666666666,5.0,0.0392156862745098
5,gulfstream 450,small,45,,,,,
6,gulfstream 650,small,37,,,,,
7,gulfstream 200,small,33,5.0,0.0,5.5555555555555545,4.166666666666667,0.15151515151515152
8,cessna 208,small,29,306.0,4.618736383442265,7.488425925925924,6.796875,10.551724137931034
9,dassault 200,small,29,,,,,
10,embraer 145,medium,5790,55.0,1.3939393939393938,5.416666666666665,4.244791666666666,0.009499136442141624
11,bombardier 200,medium,3910,1.0,10.0,10.0,10.0,0.0002557544757033248
12,bombardier 900,medium,3022,,,,,
13,embraer 175,medium,2766,2.0,3.333333333333333,,,0.0007230657989877079
14,embraer 170,medium,2671,21.0,2.8571428571428568,5.0,4.687499999999999,0.00786222388618495
15,bombardier 700,medium,2182,6.0,0.0,4.444444444444444,3.3333333333333335,0.002749770852428964
16,canadair 24,medium,1761,,,,,
17,embraer 190,medium,1203,33.0,1.717171717171717,5.777777777777777,5.055555555555555,0.02743142144638404
18,embraer 140,medium,1018,1.0,3.333333333333333,,,0.0009823182711198428
19,canadair 700,medium,934,,,,,
20,boeing 737,large,26404,1023.0,1.6682958618442487,5.159722222222222,4.302083333333333,0.03874412967732162
21,airbus 320,large,8042,112.0,1.1904761904761902,5.416666666666666,4.739583333333332,0.013926883859736384
22,boeing 757,large,6507,202.0,2.1452145214521448,5.217391304347826,4.175724637681159,0.031043491624404486
23,airbus 319,large,5202,33.0,2.1212121212121207,3.333333333333333,2.6666666666666665,0.006343713956170703
24,airbus 321,large,3983,38.0,1.4035087719298247,5.499999999999999,4.375,0.009540547326136078
25,boeing 767,large,3912,210.0,2.0952380952380953,4.866666666666666,3.958333333333333,0.05368098159509203
26,mcdonnell/douglas 80,large,3530,,,,,
27,boeing 777,large,2620,161.0,1.5113871635610763,4.861111111111111,3.8657407407407405,0.061450381679389314
28,boeing 717,large,1787,24.0,0.9722222222222222,5.416666666666666,4.270833333333333,0.013430330162283156
29,airbus 330,large,1205,52.0,1.282051282051282,4.705882352941177,3.9705882352941178,0.043153526970954356
