,YEAR,CARRIER,CARRIER_NAME,MANUFACTURE_YEAR,UNIQUE_CARRIER_NAME,SERIAL_NUMBER,TAIL_NUMBER,AIRCRAFT_STATUS,OPERATING_STATUS,NUMBER_OF_SEATS,MANUFACTURER,AIRCRAFT_TYPE,MODEL,CAPACITY_IN_POUNDS,ACQUISITION_DATE,AIRLINE_ID,UNIQUE_CARRIER,PLANE_TYPE,MANUFACTURER-MODEL
0,2006,5X,United Parcel Service,1966.0,United Parcel Service,18898,N902UP,O,N,0.0,boeing,,B727-100,43500.0,1/16/1993 12:00:00 AM,19917.0,5X,small,boeing B727-100
1,2006,5X,United Parcel Service,1966.0,United Parcel Service,18945,N903UP,O,N,0.0,boeing,,B727-100,43500.0,12/15/1992 12:00:00 AM,19917.0,5X,small,boeing B727-100
2,2006,5X,United Parcel Service,1966.0,United Parcel Service,18946,N904UP,O,N,0.0,boeing,,B727-100,43500.0,12/2/1992 12:00:00 AM,19917.0,5X,small,boeing B727-100
3,2006,5X,United Parcel Service,1966.0,United Parcel Service,18947,N905UP,O,N,0.0,boeing,,B727-100,43500.0,4/24/1993 12:00:00 AM,19917.0,5X,small,boeing B727-100
4,2006,5X,United Parcel Service,1966.0,United Parcel Service,19091,N928UP,O,N,0.0,boeing,,B727-100,43500.0,9/30/1982 12:00:00 AM,19917.0,5X,small,boeing B727-100
5,2006,5X,United Parcel Service,1966.0,United Parcel Service,19096,N930UP,O,Y,0.0,boeing,,B727-100,43500.0,9/7/1983 12:00:00 AM,19917.0,5X,small,boeing B727-100
6,2006,5X,United Parcel Service,1966.0,United Parcel Service,19102,N943UP,O,N,0.0,boeing,,B727-100,43500.0,1/31/1993 12:00:00 AM,19917.0,5X,small,boeing B727-100
7,2006,5X,United Parcel Service,1966.0,United Parcel Service,19135,N934UP,O,N,0.0,boeing,,B727-100,43500.0,5/1/1985 12:00:00 AM,19917.0,5X,small,boeing B727-100
8,2006,5X,United Parcel Service,1967.0,United Parcel Service,19008,N918UP,O,Y,0.0,boeing,,B727-100,43500.0,6/16/1982 12:00:00 AM,19917.0,5X,small,boeing B727-100
9,2006,5X,United Parcel Service,1967.0,United Parcel Service,19012,N919UP,O,Y,0.0,boeing,,B727-100,43500.0,7/16/1982 12:00:00 AM,19917.0,5X,small,boeing B727-100
